DAT_MED;HR_MED;TEM_INS;UMD_INS;VEN_VEL
2013-02-25;400;23.5;93.0;1.3
2013-02-25;500;23.4;93.0;0.1
2013-02-25;600;23.3;93.0;0.0
2013-02-25;700;23.3;94.0;0.0
2013-02-25;800;23.4;94.0;0.0
2013-02-25;900;23.4;94.0;0.0
2013-02-25;1000;23.6;94.0;0.0
2013-02-25;1100;24.7;93.0;0.0
2013-02-25;1200;28.1;87.0;0.2
2013-02-25;1300;29.3;75.0;0.3
2013-02-25;1400;29.4;72.0;0.5
2013-02-25;1500;30.3;71.0;0.7
2013-02-25;1600;31.3;65.0;0.5
2013-02-25;1700;25.6;90.0;0.9
2013-02-25;1800;23.1;93.0;0.9
2013-02-25;1900;24.1;94.0;0.0
2013-02-25;2000;24.5;94.0;0.1
2013-02-25;2100;24.8;93.0;0.0
2013-02-25;2200;25.0;93.0;0.0
2013-02-25;2300;24.2;90.0;0.4
2013-02-26;0;23.9;89.0;0.0
2013-02-26;100;23.6;90.0;0.0
2013-02-26;200;23.7;91.0;0.0
2013-02-26;300;23.5;92.0;0.0
2013-02-26;400;23.5;93.0;0.0
2013-02-26;500;23.5;93.0;0.0
2013-02-26;600;23.5;93.0;0.0
2013-02-26;700;23.2;93.0;0.0
2013-02-26;800;23.0;94.0;0.0
2013-02-26;900;23.2;94.0;0.0
2013-02-26;1000;23.8;94.0;0.0
2013-02-26;1100;25.5;92.0;0.0
2013-02-26;1200;28.4;83.0;0.2
2013-02-26;1300;30.0;71.0;0.5
2013-02-26;1400;31.9;64.0;0.6
2013-02-26;1500;32.5;58.0;1.4
2013-02-26;1600;33.4;55.0;1.1
2013-02-26;1700;32.9;60.0;1.6
2013-02-26;1800;32.3;70.0;1.6
2013-02-26;1900;27.8;83.0;0.5
2013-02-26;2000;24.5;91.0;1.3
2013-02-26;2100;24.1;91.0;0.6
2013-02-26;2200;24.4;91.0;0.1
2013-02-26;2300;24.4;93.0;0.0
2013-02-27;0;24.9;93.0;0.0
2013-02-27;100;25.5;92.0;0.1
2013-02-27;200;25.4;92.0;0.0
2013-02-27;300;25.1;93.0;0.0
2013-02-27;400;25.2;93.0;0.0
2013-02-27;500;25.1;93.0;0.0
2013-02-27;600;24.8;93.0;0.0
2013-02-27;700;24.7;93.0;0.0
2013-02-27;800;24.5;93.0;0.0
2013-02-27;900;24.5;93.0;0.0
2013-02-27;1000;24.5;93.0;0.0
2013-02-27;1100;26.4;91.0;0.1
2013-02-27;1200;28.7;78.0;0.5
2013-02-27;1300;29.6;71.0;0.5
2013-02-27;1400;30.9;66.0;1.1
2013-02-27;1500;33.0;55.0;1.4
2013-02-27;1600;31.7;59.0;1.4
2013-02-27;1700;27.0;76.0;2.2
2013-02-27;1800;30.4;76.0;0.5
2013-02-27;1900;30.9;61.0;1.1
2013-02-27;2000;28.1;75.0;1.0
2013-02-27;2100;25.4;91.0;0.2
2013-02-27;2200;25.7;91.0;0.1
2013-02-27;2300;26.0;88.0;0.8
2013-02-28;0;25.6;88.0;0.0
2013-02-28;100;25.4;89.0;0.0
2013-02-28;200;25.1;90.0;0.0
2013-02-28;300;24.7;91.0;0.0
2013-02-28;400;24.4;92.0;0.0
2013-02-28;500;24.2;92.0;0.0
2013-02-28;600;23.8;93.0;0.0
2013-02-28;700;24.1;93.0;0.0
2013-02-28;800;23.9;93.0;0.0
2013-02-28;900;24.0;93.0;0.0
2013-02-28;1000;24.4;93.0;0.0
2013-02-28;1100;26.5;90.0;0.0
2013-02-28;1200;28.1;78.0;1.0
2013-02-28;1300;28.7;76.0;0.6
2013-02-28;1400;30.0;74.0;1.5
2013-02-28;1500;29.9;67.0;1.6
2013-02-28;1600;29.5;68.0;1.0
2013-02-28;1700;30.3;66.0;2.7
2013-02-28;1800;26.7;79.0;1.6
2013-02-28;1900;28.2;79.0;1.0
2013-02-28;2000;28.6;75.0;2.0
2013-02-28;2100;28.3;75.0;1.9
2013-02-28;2200;27.1;83.0;0.7
2013-02-28;2300;26.8;83.0;1.1
2013-03-01;0;26.5;84.0;1.0
2013-03-01;100;26.2;85.0;0.4
2013-03-01;200;25.8;87.0;0.1
2013-03-01;300;25.5;87.0;0.0
2013-03-01;400;25.2;89.0;0.1
2013-03-01;500;24.8;90.0;0.0
2013-03-01;600;24.4;91.0;0.0
2013-03-01;700;24.2;92.0;0.0
2013-03-01;800;24.0;93.0;0.0
2013-03-01;900;23.9;93.0;0.0
2013-03-01;1000;24.5;93.0;0.0
2013-03-01;1100;26.9;87.0;0.2
2013-03-01;1200;28.9;74.0;1.1
2013-03-01;1300;29.1;73.0;0.9
2013-03-01;1400;30.6;66.0;1.1
2013-03-01;1500;32.8;58.0;1.2
2013-03-01;1600;30.9;64.0;2.1
2013-03-01;1700;25.0;88.0;0.5
2013-03-01;1800;28.5;77.0;0.1
2013-03-01;1900;23.7;87.0;1.7
2013-03-01;2000;25.3;87.0;0.0
2013-03-01;2100;25.0;88.0;0.1
2013-03-01;2200;25.6;89.0;0.3
2013-03-01;2300;25.9;88.0;0.3
2013-03-02;0;26.1;87.0;0.4
2013-03-02;100;25.8;88.0;0.2
2013-03-02;200;25.5;89.0;0.7
2013-03-02;300;25.2;90.0;0.1
2013-03-02;400;24.8;91.0;0.1
2013-03-02;500;24.4;93.0;0.0
2013-03-02;600;24.1;93.0;0.0
2013-03-02;700;24.3;93.0;0.0
2013-03-02;800;24.0;93.0;0.0
2013-03-02;900;24.1;94.0;0.0
2013-03-02;1000;24.8;94.0;0.0
2013-03-02;1100;26.9;91.0;0.5
2013-03-02;1200;28.7;79.0;0.8
2013-03-02;1300;29.7;74.0;1.6
2013-03-02;1400;29.6;69.0;1.9
2013-03-02;1500;30.1;68.0;1.7
2013-03-02;1600;31.6;65.0;1.8
2013-03-02;1700;32.2;65.0;0.9
2013-03-02;1900;24.7;91.0;0.9
2013-03-02;2000;25.4;92.0;0.9
2013-03-02;2100;25.7;92.0;0.1
2013-03-02;2200;25.8;92.0;0.0
2013-03-02;2300;25.2;93.0;1.9
2013-03-03;0;23.5;92.0;2.1
2013-03-03;100;23.5;93.0;0.1
2013-03-03;200;23.6;93.0;0.0
2013-03-03;300;23.7;93.0;0.0
2013-03-03;400;23.8;93.0;0.0
2013-03-03;500;23.7;93.0;0.0
2013-03-03;600;23.6;93.0;0.0
2013-03-03;700;23.6;93.0;0.0
2013-03-03;800;23.4;93.0;0.0
2013-03-03;900;23.2;94.0;0.0
2013-03-03;1000;23.6;94.0;0.0
2013-03-03;1100;25.6;92.0;0.0
2013-03-03;1200;28.1;81.0;0.2
2013-03-03;1300;28.2;79.0;0.9
2013-03-03;1400;29.9;74.0;0.7
2013-03-03;1500;30.6;68.0;1.5
2013-03-03;1600;31.2;64.0;2.1
2013-03-03;1700;31.6;62.0;1.9
2013-03-03;1800;31.1;65.0;1.5
2013-03-03;1900;26.2;86.0;0.1
2013-03-03;2000;27.3;86.0;0.9
2013-03-03;2100;24.9;88.0;2.5
2013-03-03;2200;24.4;91.0;0.0
2013-03-03;2300;24.0;92.0;0.0
2013-03-04;0;24.0;92.0;0.0
2013-03-04;100;24.0;93.0;0.0
2013-03-04;200;24.2;93.0;0.0
2013-03-04;300;24.6;93.0;0.1
2013-03-04;400;24.5;93.0;0.0
2013-03-04;500;24.4;93.0;0.0
2013-03-04;600;24.6;93.0;0.1
2013-03-04;700;24.7;93.0;0.0
2013-03-04;800;24.5;93.0;0.0
2013-03-04;900;24.4;93.0;0.0
2013-03-04;1000;24.5;93.0;0.0
2013-03-04;1100;26.5;92.0;0.0
2013-03-04;1200;28.0;82.0;1.5
2013-03-04;1300;29.5;74.0;1.8
2013-03-04;1400;31.1;67.0;1.8
2013-03-04;1600;32.1;62.0;2.5
2013-03-04;1700;30.5;73.0;1.2
2013-03-04;1800;30.2;76.0;0.3
2013-03-04;1900;29.3;74.0;0.9
2013-03-04;2000;26.1;85.0;1.4
2013-03-04;2100;25.1;86.0;0.7
2013-03-04;2200;24.3;90.0;0.0
2013-03-04;2300;24.3;91.0;0.1
2013-03-05;0;24.3;91.0;0.5
2013-03-05;100;24.6;92.0;0.0
2013-03-05;200;24.3;93.0;0.0
2013-03-05;300;24.2;93.0;0.0
2013-03-05;400;24.2;93.0;0.0
2013-03-05;500;24.2;93.0;0.0
2013-03-05;600;24.5;94.0;0.0
2013-03-05;700;24.5;93.0;0.0
2013-03-05;800;24.7;94.0;0.0
2013-03-05;900;24.6;94.0;0.0
2013-03-05;1000;25.0;94.0;0.0
2013-03-05;1100;26.7;92.0;0.0
2013-03-05;1200;28.4;83.0;0.3
2013-03-05;1300;29.9;74.0;1.1
2013-03-05;1400;29.6;70.0;1.2
2013-03-05;1500;31.1;66.0;1.6
2013-03-05;1600;30.8;67.0;1.1
2013-03-05;1700;29.6;74.0;1.6
2013-03-05;1800;24.8;90.0;0.4
2013-03-05;1900;25.6;90.0;0.6
2013-03-05;2000;26.7;85.0;1.0
2013-03-05;2100;26.9;83.0;0.5
2013-03-05;2200;23.5;93.0;1.1
2013-03-05;2300;24.1;93.0;1.7
2013-03-06;0;23.9;93.0;0.0
2013-03-06;100;24.0;93.0;0.3
2013-03-06;200;24.1;93.0;0.0
2013-03-06;300;24.1;93.0;0.1
2013-03-06;400;24.3;94.0;0.0
2013-03-06;500;24.3;94.0;0.0
2013-03-06;600;24.3;94.0;0.0
2013-03-06;700;24.5;94.0;0.0
2013-03-06;800;24.4;94.0;0.0
2013-03-06;900;24.5;94.0;0.0
2013-03-06;1000;24.9;94.0;0.0
2013-03-06;1100;26.2;92.0;0.1
2013-03-06;1200;27.9;85.0;0.5
2013-03-06;1300;28.0;80.0;0.1
2013-03-06;1400;29.8;69.0;2.2
2013-03-06;1500;31.2;66.0;0.6
2013-03-06;1600;32.2;62.0;1.5
2013-03-06;1700;28.1;77.0;1.6
2013-03-06;1800;25.6;82.0;1.8
2013-03-06;1900;25.4;87.0;1.1
2013-03-06;2000;25.6;86.0;0.3
2013-03-06;2100;26.3;88.0;0.9
2013-03-06;2200;25.8;90.0;0.4
2013-03-06;2300;26.1;90.0;0.3
2013-03-07;0;26.1;87.0;0.3
2013-03-07;100;25.7;89.0;0.1
2013-03-07;200;25.5;90.0;0.2
2013-03-07;300;25.4;90.0;0.3
2013-03-07;400;25.2;90.0;0.3
2013-03-07;500;25.1;90.0;0.5
2013-03-07;600;24.8;91.0;0.7
2013-03-07;700;24.3;88.0;0.4
2013-03-07;800;23.8;89.0;0.5
2013-03-07;900;23.8;90.0;0.3
2013-03-07;1000;24.2;90.0;0.0
2013-03-07;1100;25.1;87.0;0.6
2013-03-07;1200;26.8;82.0;0.9
2013-03-07;1300;29.2;74.0;1.2
2013-03-07;1400;29.7;70.0;1.3
2013-03-07;1500;31.3;65.0;0.9
2013-03-07;1600;30.5;65.0;1.4
2013-03-07;1700;27.2;78.0;0.5
2013-03-07;1800;24.5;90.0;1.7
2013-03-07;1900;24.5;92.0;0.1
2013-03-07;2000;24.9;93.0;0.2
2013-03-07;2100;25.4;93.0;0.0
2013-03-07;2200;25.1;93.0;0.0
2013-03-07;2300;25.2;93.0;0.6
2013-03-08;0;25.2;93.0;0.6
2013-03-08;100;25.1;93.0;0.0
2013-03-08;200;25.1;93.0;0.0
2013-03-08;300;25.0;93.0;0.1
2013-03-08;400;24.7;93.0;0.0
2013-03-08;500;24.6;93.0;0.0
2013-03-08;600;24.4;94.0;0.0
2013-03-08;700;24.5;94.0;0.0
2013-03-08;800;24.5;94.0;0.0
2013-03-08;900;24.6;94.0;0.0
2013-03-08;1000;24.8;94.0;0.0
2013-03-08;1100;26.4;92.0;0.2
2013-03-08;1200;27.9;86.0;0.6
2013-03-08;1300;28.6;79.0;0.9
2013-03-08;1400;29.4;72.0;1.4
2013-03-08;1500;30.7;68.0;0.8
2013-03-08;1600;29.8;70.0;1.0
2013-03-08;1700;26.1;90.0;1.2
2013-03-08;1800;25.2;90.0;1.6
2013-03-08;1900;23.9;91.0;1.8
2013-03-08;2000;24.2;93.0;0.0
2013-03-08;2100;24.4;93.0;0.1
2013-03-08;2200;24.4;93.0;0.0
2013-03-08;2300;24.5;93.0;0.0
2013-03-09;0;24.5;94.0;0.0
2013-03-09;100;24.8;93.0;0.0
2013-03-09;200;24.6;94.0;0.0
2013-03-09;300;25.0;94.0;0.0
2013-03-09;400;24.9;94.0;0.0
2013-03-09;500;24.6;94.0;0.0
2013-03-09;600;24.4;94.0;0.0
2013-03-09;700;24.2;94.0;0.0
2013-03-09;800;24.1;94.0;0.0
2013-03-09;900;24.2;94.0;0.0
2013-03-09;1000;24.3;94.0;0.0
2013-03-09;1100;25.9;92.0;0.5
2013-03-09;1200;27.8;85.0;0.5
2013-03-09;1300;30.3;67.0;1.0
2013-03-09;1400;30.6;68.0;1.7
2013-03-09;1500;31.5;64.0;1.9
2013-03-09;1600;30.7;64.0;1.2
2013-03-09;1700;31.8;63.0;0.6
2013-03-09;1800;25.4;89.0;2.3
2013-03-09;1900;28.0;83.0;1.9
2013-03-09;2000;27.8;82.0;1.6
2013-03-09;2100;26.8;87.0;0.0
2013-03-09;2200;26.0;90.0;0.0
2013-03-09;2300;26.0;92.0;0.2
2013-03-10;0;25.7;92.0;0.1
2013-03-10;100;25.7;92.0;0.2
2013-03-10;200;25.7;92.0;0.3
2013-03-10;300;25.8;91.0;0.5
2013-03-10;400;25.4;91.0;0.1
2013-03-10;500;25.3;91.0;0.4
2013-03-10;600;25.0;91.0;0.1
2013-03-10;700;25.0;91.0;0.9
2013-03-10;800;24.5;91.0;0.1
2013-03-10;900;24.2;92.0;0.6
2013-03-10;1000;24.7;93.0;0.0
2013-03-10;1100;26.6;88.0;0.8
2013-03-10;1200;27.8;81.0;0.9
2013-03-10;1300;29.2;73.0;1.5
2013-03-10;1400;31.0;63.0;1.6
2013-03-10;1500;32.4;59.0;1.4
2013-03-10;1600;33.7;59.0;0.9
2013-03-10;1700;26.8;86.0;0.7
2013-03-10;1800;28.3;79.0;1.4
2013-03-10;1900;25.2;87.0;1.3
2013-03-10;2000;25.8;88.0;0.5
2013-03-10;2100;26.4;86.0;0.1
2013-03-10;2200;26.0;87.0;0.0
2013-03-10;2300;25.8;89.0;0.0
2013-03-11;0;25.8;90.0;0.1
2013-03-11;100;25.6;91.0;0.0
2013-03-11;200;25.2;92.0;0.0
2013-03-11;300;25.3;92.0;0.0
2013-03-11;400;25.4;91.0;0.0
2013-03-11;500;24.8;92.0;0.0
2013-03-11;600;24.6;93.0;0.0
2013-03-11;700;24.6;93.0;0.1
2013-03-11;800;24.4;93.0;0.0
2013-03-11;900;24.4;94.0;0.0
2013-03-11;1000;24.9;94.0;0.0
2013-03-11;1100;26.5;91.0;0.1
2013-03-11;1200;28.3;80.0;1.4
2013-03-11;1300;29.6;73.0;1.3
2013-03-11;1400;29.6;69.0;2.1
2013-03-11;1500;31.1;61.0;1.4
2013-03-11;1600;32.3;62.0;1.2
2013-03-11;1700;25.9;78.0;2.4
2013-03-11;1800;26.3;90.0;0.8
2013-03-11;1900;26.9;87.0;0.8
2013-03-11;2000;25.6;86.0;1.9
2013-03-11;2100;25.1;89.0;0.2
2013-03-11;2200;24.9;92.0;0.9
2013-03-11;2300;25.2;92.0;0.2
2013-03-12;0;25.1;92.0;0.0
2013-03-12;100;25.2;93.0;0.8
2013-03-12;200;24.8;93.0;0.0
2013-03-12;300;24.6;93.0;0.0
2013-03-12;400;24.5;94.0;0.0
2013-03-12;500;24.3;94.0;0.0
2013-03-12;600;24.4;94.0;0.0
2013-03-12;700;24.3;94.0;0.0
2013-03-12;800;24.1;94.0;0.0
2013-03-12;900;24.1;94.0;0.0
2013-03-12;1000;24.6;94.0;0.0
2013-03-12;1100;26.4;92.0;0.6
2013-03-12;1200;28.9;81.0;1.6
2013-03-12;1300;30.3;69.0;1.7
2013-03-12;1400;30.2;68.0;1.4
2013-03-12;1500;31.0;63.0;2.1
2013-03-12;1600;25.9;79.0;1.5
2013-03-12;1700;28.6;82.0;0.8
2013-03-12;1800;26.8;91.0;0.2
2013-03-12;1900;25.2;90.0;0.8
2013-03-12;2000;26.7;90.0;0.7
2013-03-12;2100;26.9;88.0;0.7
2013-03-12;2200;26.8;90.0;0.0
2013-03-12;2300;26.4;91.0;0.0
2013-03-13;0;26.3;91.0;1.3
2013-03-13;100;26.1;90.0;0.1
2013-03-13;200;26.2;90.0;0.2
2013-03-13;300;26.0;90.0;0.1
2013-03-13;400;25.6;90.0;0.2
2013-03-13;500;25.2;91.0;0.0
2013-03-13;600;25.0;92.0;0.0
2013-03-13;700;24.7;93.0;0.0
2013-03-13;800;24.8;93.0;0.0
2013-03-13;900;24.7;93.0;0.0
2013-03-13;1000;24.9;93.0;0.0
2013-03-13;1100;27.4;89.0;0.3
2013-03-13;1200;29.0;78.0;1.3
2013-03-13;1300;30.8;69.0;1.5
2013-03-13;1400;31.6;62.0;1.8
2013-03-13;1500;31.1;65.0;0.3
2013-03-13;1600;31.8;59.0;1.0
2013-03-13;1800;31.1;73.0;2.6
2013-03-13;1900;25.6;90.0;2.1
2013-03-13;2000;27.8;86.0;0.6
2013-03-13;2100;27.6;84.0;0.7
2013-03-13;2200;26.1;87.0;0.6
2013-03-13;2300;26.7;87.0;0.6
2013-03-14;0;26.6;87.0;0.1
2013-03-14;100;26.0;90.0;0.0
2013-03-14;200;26.0;88.0;0.0
2013-03-14;300;25.3;91.0;0.0
2013-03-14;400;24.9;92.0;0.0
2013-03-14;500;24.7;93.0;0.0
2013-03-14;600;24.9;93.0;0.0
2013-03-14;700;25.1;93.0;0.1
2013-03-14;800;24.7;93.0;0.2
2013-03-14;900;24.4;92.0;0.0
2013-03-14;1000;24.5;93.0;0.0
2013-03-14;1100;25.6;90.0;0.1
2013-03-14;1200;27.7;80.0;1.0
2013-03-14;1300;30.0;69.0;1.0
2013-03-14;1400;30.5;68.0;1.2
2013-03-14;1500;31.6;64.0;0.7
2013-03-14;1600;32.5;68.0;0.7
2013-03-14;1700;27.6;83.0;1.3
2013-03-14;1800;25.9;90.0;0.4
2013-03-14;1900;27.8;87.0;0.3
2013-03-14;2000;26.9;83.0;1.2
2013-03-14;2100;26.9;81.0;0.6
2013-03-14;2200;26.4;87.0;0.0
2013-03-14;2300;26.2;89.0;0.0
2013-03-15;0;27.0;86.0;0.4
2013-03-15;100;26.8;86.0;0.1
2013-03-15;200;26.7;85.0;0.2
2013-03-15;300;26.2;88.0;0.3
2013-03-15;400;25.6;90.0;0.0
2013-03-15;500;25.7;90.0;0.1
2013-03-15;600;25.6;91.0;0.6
2013-03-15;700;25.4;91.0;0.0
2013-03-15;800;25.0;92.0;0.0
2013-03-15;900;25.0;92.0;0.0
2013-03-15;1000;25.4;92.0;0.0
2013-03-15;1100;27.3;87.0;0.0
2013-03-15;1200;29.2;77.0;0.9
2013-03-15;1300;30.1;70.0;1.3
2013-03-15;1400;32.5;63.0;1.2
2013-03-15;1500;32.5;64.0;1.3
2013-03-15;1600;31.9;63.0;1.1
2013-03-15;1800;27.4;90.0;0.9
2013-03-15;1900;30.5;75.0;1.4
2013-03-15;2000;30.0;71.0;1.9
2013-03-15;2100;25.3;88.0;0.2
2013-03-15;2200;25.6;90.0;0.0
2013-03-15;2300;25.8;90.0;0.1
2013-03-16;0;25.7;91.0;0.0
2013-03-16;100;26.1;90.0;0.1
2013-03-16;200;26.1;90.0;0.4
2013-03-16;300;25.7;91.0;0.0
2013-03-16;400;25.7;91.0;0.1
2013-03-16;500;25.7;91.0;0.0
2013-03-16;600;25.4;92.0;0.2
2013-03-16;700;25.4;92.0;0.2
2013-03-16;800;25.5;92.0;0.0
2013-03-16;900;25.0;93.0;0.0
2013-03-16;1000;25.7;93.0;0.0
2013-03-16;1100;27.3;86.0;0.3
2013-03-16;1200;28.5;79.0;0.8
2013-03-16;1300;30.1;72.0;1.2
2013-03-16;1400;31.0;66.0;1.2
2013-03-16;1500;32.5;60.0;1.4
2013-03-16;1700;26.8;83.0;0.0
2013-03-16;1800;28.1;80.0;2.0
2013-03-16;1900;29.7;73.0;2.8
2013-03-16;2000;26.5;84.0;2.5
2013-03-16;2100;26.6;85.0;0.9
2013-03-16;2200;26.2;89.0;0.0
2013-03-16;2300;25.9;91.0;0.0
2013-03-17;0;25.7;91.0;0.0
2013-03-17;100;25.5;91.0;0.0
2013-03-17;200;25.7;91.0;0.0
2013-03-17;300;25.6;91.0;0.0
2013-03-17;400;25.3;92.0;0.0
2013-03-17;500;25.1;92.0;0.0
2013-03-17;600;25.0;93.0;0.0
2013-03-17;700;24.7;93.0;0.0
2013-03-17;800;24.5;93.0;0.0
2013-03-17;900;24.3;93.0;0.0
2013-03-17;1000;24.5;93.0;0.0
2013-03-17;1100;25.8;91.0;0.0
2013-03-17;1200;27.9;81.0;0.5
2013-03-17;1300;28.7;78.0;1.0
2013-03-17;1400;29.2;74.0;1.8
2013-03-17;1500;28.8;82.0;0.0
2013-03-17;1600;29.8;73.0;1.4
2013-03-17;1700;25.0;93.0;0.1
2013-03-17;1800;25.6;93.0;0.0
2013-03-17;1900;26.2;92.0;0.5
2013-03-17;2000;25.6;91.0;0.3
2013-03-17;2100;25.8;92.0;0.0
2013-03-17;2200;25.8;90.0;0.4
2013-03-17;2300;25.6;89.0;0.3
2013-03-18;0;25.5;89.0;0.1
2013-03-18;100;25.3;90.0;0.1
2013-03-18;200;25.1;91.0;0.1
2013-03-18;300;24.9;92.0;0.0
2013-03-18;400;24.9;92.0;0.0
2013-03-18;500;25.0;92.0;0.0
2013-03-18;600;24.8;93.0;0.0
2013-03-18;700;24.8;93.0;0.0
2013-03-18;800;24.7;93.0;0.0
2013-03-18;900;24.5;93.0;0.0
2013-03-18;1000;24.8;94.0;0.0
2013-03-18;1100;27.2;89.0;0.1
2013-03-18;1200;29.2;75.0;1.1
2013-03-18;1300;30.2;71.0;0.8
2013-03-18;1400;30.4;69.0;1.1
2013-03-18;1500;31.4;63.0;1.2
2013-03-18;1600;29.9;75.0;2.0
2013-03-18;1700;25.3;92.0;1.7
2013-03-18;1800;24.9;93.0;1.3
2013-03-18;1900;25.5;93.0;0.5
2013-03-18;2000;25.8;91.0;0.3
2013-03-18;2100;26.1;89.0;0.2
2013-03-18;2200;26.4;88.0;0.3
2013-03-18;2300;26.5;88.0;0.1
2013-03-19;0;26.0;89.0;0.1
2013-03-19;100;25.9;90.0;0.0
2013-03-19;200;25.5;91.0;0.0
2013-03-19;300;25.1;89.0;0.0
2013-03-19;400;24.8;90.0;0.0
2013-03-19;500;24.6;92.0;0.0
2013-03-19;600;24.4;93.0;0.0
2013-03-19;700;24.3;93.0;0.0
2013-03-19;800;24.5;94.0;0.0
2013-03-19;900;24.4;94.0;0.0
2013-03-19;1000;24.5;93.0;0.0
2013-03-19;1100;25.3;92.0;0.0
2013-03-19;1200;26.4;90.0;0.0
2013-03-19;1300;27.4;82.0;0.0
2013-03-19;1400;28.8;77.0;0.0
2013-03-19;1500;28.8;77.0;0.4
2013-03-19;1600;26.3;86.0;0.1
2013-03-19;1700;24.8;92.0;0.4
2013-03-19;1800;25.0;93.0;0.0
2013-03-19;1900;24.7;93.0;0.0
2013-03-19;2000;24.2;93.0;0.0
2013-03-19;2100;24.1;93.0;0.0
2013-03-19;2200;24.0;93.0;0.0
2013-03-19;2300;24.0;93.0;0.0
2013-03-20;0;24.1;94.0;0.0
2013-03-20;100;24.3;94.0;0.0
2013-03-20;200;24.1;94.0;0.0
2013-03-20;300;24.3;94.0;0.0
2013-03-20;400;24.0;94.0;0.0
2013-03-20;500;23.7;94.0;0.0
2013-03-20;600;23.7;94.0;0.0
2013-03-20;700;23.8;94.0;0.0
2013-03-20;800;23.7;94.0;0.0
2013-03-20;900;23.5;94.0;0.0
2013-03-20;1000;22.4;94.0;0.6
2013-03-20;1100;22.2;94.0;0.7
2013-03-20;1200;22.6;94.0;0.8
2013-03-20;1300;23.2;94.0;0.6
2013-03-20;1400;24.0;92.0;0.5
2013-03-20;1500;24.8;89.0;0.5
2013-03-20;1600;26.6;83.0;0.1
2013-03-20;1700;27.1;79.0;0.4
2013-03-20;1800;27.5;78.0;0.8
2013-03-20;1900;27.9;77.0;1.0
2013-03-20;2000;27.5;78.0;0.8
2013-03-20;2100;26.2;83.0;1.5
2013-03-20;2200;25.4;86.0;0.2
2013-03-20;2300;25.3;87.0;0.3
2013-03-21;0;24.9;89.0;0.0
2013-03-21;100;24.6;91.0;0.4
2013-03-21;200;24.5;92.0;0.0
2013-03-21;300;24.6;92.0;0.1
2013-03-21;400;24.4;93.0;0.0
2013-03-21;500;24.5;93.0;0.0
2013-03-21;600;24.6;93.0;0.0
2013-03-21;700;24.5;93.0;0.0
2013-03-21;800;24.2;93.0;0.0
2013-03-21;900;24.0;93.0;0.0
2013-03-21;1000;24.1;94.0;0.0
2013-03-21;1100;25.1;93.0;0.1
2013-03-21;1200;26.9;86.0;0.7
2013-03-21;1300;27.8;81.0;0.8
2013-03-21;1400;29.2;73.0;0.7
2013-03-21;1500;30.1;66.0;0.5
2013-03-21;1600;29.6;71.0;1.3
2013-03-21;1700;29.2;71.0;0.4
2013-03-21;1800;26.1;82.0;1.7
2013-03-21;1900;25.8;86.0;1.1
2013-03-21;2000;25.9;90.0;1.1
2013-03-21;2100;25.8;90.0;1.3
2013-03-21;2200;25.4;91.0;0.2
2013-03-21;2300;25.6;89.0;0.5
2013-03-22;0;25.5;89.0;0.3
2013-03-22;100;25.2;91.0;1.2
2013-03-22;200;25.1;92.0;1.2
2013-03-22;300;24.5;92.0;1.2
2013-03-22;400;24.3;93.0;0.4
2013-03-22;500;24.2;93.0;0.2
2013-03-22;600;24.3;93.0;0.1
2013-03-22;700;24.2;93.0;0.7
2013-03-22;800;24.2;93.0;1.1
2013-03-22;900;24.1;93.0;0.4
2013-03-22;1000;24.1;93.0;1.0
2013-03-22;1100;25.0;89.0;1.5
2013-03-22;1200;26.7;82.0;1.8
2013-03-22;1300;29.2;72.0;1.4
2013-03-22;1400;30.9;62.0;2.6
2013-03-22;1500;32.1;61.0;1.9
2013-03-22;1600;31.9;56.0;2.7
2013-03-22;1700;31.6;56.0;2.2
2013-03-22;1800;32.4;54.0;2.3
2013-03-22;1900;31.9;53.0;2.6
2013-03-22;2000;31.4;57.0;2.1
2013-03-22;2100;29.9;63.0;1.1
2013-03-22;2200;28.0;73.0;0.2
2013-03-22;2300;27.0;80.0;0.4
2013-03-23;0;26.9;78.0;0.8
2013-03-23;100;26.5;82.0;0.9
2013-03-23;200;26.4;83.0;0.4
2013-03-23;300;26.3;84.0;0.4
2013-03-23;400;26.0;86.0;0.3
2013-03-23;500;25.3;88.0;0.3
2013-03-23;600;25.1;91.0;0.3
2013-03-23;700;25.1;91.0;0.2
2013-03-23;800;24.9;91.0;0.1
2013-03-23;900;24.9;91.0;0.0
2013-03-23;1000;25.2;91.0;0.3
2013-03-23;1100;27.2;83.0;1.0
2013-03-23;1200;29.2;72.0;1.4
2013-03-23;1300;29.1;73.0;1.4
2013-03-23;1400;29.7;72.0;1.1
2013-03-23;1500;30.7;71.0;2.0
2013-03-23;1600;28.2;81.0;1.5
2013-03-23;1800;28.1;76.0;2.4
2013-03-23;1900;26.5;77.0;1.3
2013-03-23;2000;26.3;79.0;1.1
2013-03-23;2100;26.3;81.0;0.9
2013-03-23;2200;26.1;82.0;0.5
2013-03-23;2300;26.1;84.0;1.0
2013-03-24;0;25.8;86.0;0.8
2013-03-24;100;25.8;86.0;0.7
2013-03-24;200;25.6;85.0;0.5
2013-03-24;300;25.1;88.0;0.1
2013-03-24;400;24.9;90.0;0.3
2013-03-24;500;25.1;89.0;0.1
2013-03-24;600;25.2;89.0;0.1
2013-03-24;700;25.6;84.0;0.9
2013-03-24;800;25.4;84.0;0.2
