DAT_MED;HR_MED;TEM_INS;UMD_INS;VEN_VEL
2012-01-07;300;24.6;86.0;0.0
2012-01-07;400;24.0;89.0;0.0
2012-01-07;500;24.1;90.0;0.6
2012-01-07;600;23.8;90.0;0.0
2012-01-07;700;23.8;92.0;0.2
2012-01-07;800;23.3;92.0;0.0
2012-01-07;900;23.4;93.0;0.0
2012-01-07;1000;23.6;93.0;0.1
2012-01-07;1100;25.7;88.0;0.8
2012-01-07;1200;27.0;82.0;1.6
2012-01-07;1300;29.5;68.0;2.1
2012-01-07;1400;31.1;59.0;1.6
2012-01-07;1500;31.5;57.0;1.2
2012-01-07;1600;32.0;55.0;1.8
2012-01-07;1700;32.8;51.0;1.7
2012-01-07;1800;32.8;51.0;2.1
2012-01-07;1900;30.5;67.0;1.4
2012-01-07;2000;31.1;68.0;1.4
2012-01-07;2100;29.6;74.0;1.5
2012-01-07;2200;28.5;72.0;2.1
2012-01-07;2300;28.1;68.0;1.1
2012-01-08;0;27.4;70.0;1.0
2012-01-08;100;26.7;74.0;0.6
2012-01-08;200;26.2;77.0;0.6
2012-01-08;300;25.4;82.0;0.3
2012-01-08;400;24.8;86.0;0.5
2012-01-08;500;24.1;89.0;0.0
2012-01-08;600;24.0;90.0;0.3
2012-01-08;700;23.9;91.0;0.0
2012-01-08;800;23.7;92.0;0.0
2012-01-08;900;23.7;92.0;0.0
2012-01-08;1000;24.1;92.0;0.0
2012-01-08;1100;25.9;88.0;1.0
2012-01-08;1200;27.4;83.0;1.5
2012-01-08;1300;29.7;71.0;2.1
2012-01-08;1400;30.2;62.0;2.0
2012-01-08;1500;30.8;61.0;1.8
2012-01-08;1600;31.2;60.0;0.6
2012-01-08;1700;32.6;55.0;1.4
2012-01-08;1800;30.1;67.0;1.9
2012-01-08;1900;29.2;69.0;1.6
2012-01-08;2000;25.9;82.0;2.3
2012-01-08;2100;25.1;84.0;1.2
2012-01-08;2200;25.1;87.0;0.2
2012-01-08;2300;24.6;89.0;0.0
2012-01-09;0;24.8;90.0;0.0
2012-01-09;100;25.7;87.0;1.3
2012-01-09;200;25.5;87.0;0.4
2012-01-09;300;25.2;89.0;0.4
2012-01-09;400;24.9;91.0;0.0
